,probability,TN,TP,FN,FP
604,9.899409e-05,,,,
321,9.541137e-05,,,,
258,9.5163654e-05,,,,
707,9.318526e-05,,,,
35,9.3126895e-05,,,,
804,9.302038e-05,,,,
644,9.257055e-05,,,,
274,9.236808e-05,,,,
224,9.227519e-05,,,,
690,8.817783e-05,,,,
31,8.77121e-05,,,,
517,8.7709006e-05,,,,
241,8.768818e-05,,,,
439,8.727687e-05,,,,
778,8.5786625e-05,,,,
219,8.573968e-05,,,,
8,8.5083564e-05,,,,
702,8.16159e-05,,,,
183,8.0667276e-05,,,,
42,7.9415884e-05,,,,
112,7.8729514e-05,,,,
43,7.842721e-05,,,,
327,7.829628e-05,,,,
796,7.809739e-05,,,,
124,7.521857e-05,,,,
33,7.332927e-05,,,,
211,7.070351e-05,,,,
481,6.9758666e-05,,,,
128,6.969244e-05,,,,
372,6.929638e-05,,,,
683,6.875055e-05,,,,
69,6.551108e-05,,,,
456,6.549584e-05,,,,
454,6.43273e-05,,,,
452,6.251111e-05,,,,
266,6.242139e-05,,,,
256,5.971158e-05,,,,
330,5.862516e-05,,,,
713,5.8435096e-05,,,,
248,5.7976424e-05,,,,
201,5.781774e-05,,,,
167,5.7526893e-05,,,,
50,5.6072233e-05,,,,
74,5.5926543e-05,,,,
736,5.5901106e-05,,,,
357,5.5518845e-05,,,,
789,5.4913595e-05,,,,
194,5.3705662e-05,,,,
544,5.3592485e-05,,,,
102,5.309126e-05,,,,
606,5.2598734e-05,,,,
361,5.1806583e-05,,,,
715,5.145286e-05,,,,
624,5.1373918e-05,,,,
763,5.100223e-05,,,,
149,4.8829614e-05,,,,
417,4.8423055e-05,,,,
209,4.8416037e-05,,,,
310,4.824292e-05,,,,
312,4.6662466e-05,,,,
285,4.6362078e-05,,,,
589,4.52037e-05,,,,
178,4.511937e-05,,,,
243,4.5034383e-05,,,,
771,4.4744902e-05,,,,
391,4.471487e-05,,,,
491,4.470715e-05,,,,
95,4.4554563e-05,,,,
746,4.3446984e-05,,,,
492,4.2404165e-05,,,,
664,4.2246378e-05,,,,
801,4.2186108e-05,,,,
19,4.1698284e-05,,,,
708,4.0858242e-05,,,,
63,3.976325e-05,,,,
742,3.9094957e-05,,,,
403,3.866304e-05,,,,
363,3.7709615e-05,,,,
176,3.7353653e-05,,,,
527,3.733759e-05,,,,
146,3.6957255e-05,,,,
367,3.5701043e-05,,,,
324,3.4743367e-05,,,,
234,3.45423e-05,,,,
732,3.4530312e-05,,,,
590,3.2596192e-05,,,,
617,3.1903386e-05,,,,
228,3.1768916e-05,,,,
142,3.176443e-05,,,,
583,3.135107e-05,,,,
657,3.092291e-05,,,,
349,3.0760493e-05,,,,
639,3.0512529e-05,,,,
654,2.9902963e-05,,,,
554,2.9772893e-05,,,,
476,2.9586648e-05,,,,
265,2.8892262e-05,,,,
813,2.8277342e-05,,,,
366,2.7905873e-05,,,,
297,2.7894432e-05,,,,
614,2.7802036e-05,,,,
127,2.7729748e-05,,,,
180,2.7575106e-05,,,,
300,2.7523716e-05,,,,
423,2.750157e-05,,,,
631,2.6392343e-05,,,,
519,2.632407e-05,,,,
221,2.626752e-05,,,,
508,2.6222395e-05,,,,
467,2.5848272e-05,,,,
571,2.5799953e-05,,,,
810,2.5746027e-05,,,,
92,2.5481604e-05,,,,
597,2.5358091e-05,,,,
511,2.5151756e-05,,,,
121,2.4976856e-05,,,,
161,2.4920562e-05,,,,
616,2.47502e-05,,,,
807,2.46777e-05,,,,
803,2.4395431e-05,,,,
558,2.405905e-05,,,,
565,2.405405e-05,,,,
186,2.3893665e-05,,,,
218,2.3738718e-05,,,,
187,2.3686389e-05,,,,
354,2.3564768e-05,,,,
630,2.3387205e-05,,,,
783,2.3316097e-05,,,,
207,2.2898575e-05,,,,
726,2.2628778e-05,,,,
688,2.2421353e-05,,,,
764,2.2248565e-05,,,,
733,2.2047192e-05,,,,
723,2.1865753e-05,,,,
442,2.1607837e-05,,,,
722,2.1602911e-05,,,,
213,2.1579704e-05,,,,
309,2.1571515e-05,,,,
276,2.1543905e-05,,,,
100,2.1202819e-05,,,,
125,2.104717e-05,,,,
503,2.0974534e-05,,,,
239,2.0772542e-05,,,,
299,2.0570811e-05,,,,
282,2.0518812e-05,,,,
459,2.0148422e-05,,,,
93,2.0077758e-05,,,,
569,2.0038295e-05,,,,
730,1.9832172e-05,,,,
115,1.9806863e-05,,,,
592,1.969278e-05,,,,
575,1.9664105e-05,,,,
754,1.950278e-05,,,,
254,1.9457228e-05,,,,
376,1.9331548e-05,,,,
580,1.9317413e-05,,,,
800,1.9236102e-05,,,,
647,1.893121e-05,,,,
66,1.8754763e-05,,,,
150,1.863522e-05,,,,
798,1.8603932e-05,,,,
81,1.855602e-05,,,,
206,1.8076436e-05,,,,
294,1.8001105e-05,,,,
475,1.7985523e-05,,,,
543,1.7749899e-05,,,,
184,1.7631866e-05,,,,
263,1.7360613e-05,,,,
153,1.7227532e-05,,,,
133,1.720174e-05,,,,
473,1.715029e-05,,,,
599,1.6708042e-05,,,,
137,1.6641046e-05,,,,
542,1.6640204e-05,,,,
460,1.6483098e-05,,,,
464,1.6257789e-05,,,,
532,1.5912985e-05,,,,
76,1.5763933e-05,,,,
775,1.5685711e-05,,,,
719,1.5677577e-05,,,,
506,1.566099e-05,,,,
718,1.5516043e-05,,,,
451,1.5495843e-05,,,,
94,1.5371881e-05,,,,
272,1.4878321e-05,,,,
437,1.4855239e-05,,,,
504,1.4582536e-05,,,,
477,1.3958999e-05,,,,
717,1.3721239e-05,,,,
229,1.3706042e-05,,,,
17,1.3669922e-05,,,,
394,1.3041493e-05,,,,
566,1.3001791e-05,,,,
393,1.2977771e-05,,,,
268,1.2958823e-05,,,,
24,1.2731043e-05,,,,
334,1.2484767e-05,,,,
818,1.2416019e-05,,,,
760,1.240649e-05,,,,
509,1.2384432e-05,,,,
780,1.23557065e-05,,,,
600,1.2060305e-05,,,,
740,1.200037e-05,,,,
301,1.198733e-05,,,,
434,1.1970651e-05,,,,
443,1.1841088e-05,,,,
703,1.1830388e-05,,,,
88,1.1660433e-05,,,,
587,1.1622952e-05,,,,
271,1.13255355e-05,,,,
676,1.1157437e-05,,,,
200,1.1004022e-05,,,,
195,1.0530135e-05,,,,
545,1.0367711e-05,,,,
458,1.02506865e-05,,,,
516,1.019427e-05,,,,
698,1.0131987e-05,,,,
520,1.0121133e-05,,,,
773,9.983823e-06,,,,
314,9.840687e-06,,,,
559,9.692798e-06,,,,
71,9.661798e-06,,,,
371,9.624735e-06,,,,
433,9.612975e-06,,,,
60,9.612562e-06,,,,
820,9.567055e-06,,,,
416,9.566872e-06,,,,
114,9.4922325e-06,,,,
455,9.339901e-06,,,,
222,9.307179e-06,,,,
538,9.297209e-06,,,,
562,9.161444e-06,,,,
7,8.892846e-06,,,,
260,8.774e-06,,,,
335,8.724545e-06,,,,
215,8.65703e-06,,,,
444,8.608531e-06,,,,
308,8.504028e-06,,,,
537,8.4789235e-06,,,,
11,8.460717e-06,,,,
700,8.388865e-06,,,,
25,8.37276e-06,,,,
404,8.233101e-06,,,,
487,8.169591e-06,,,,
735,8.054593e-06,,,,
811,7.986708e-06,,,,
136,7.977938e-06,,,,
181,7.8854355e-06,,,,
26,7.762961e-06,,,,
247,7.5710145e-06,,,,
661,7.5372272e-06,,,,
56,7.5164894e-06,,,,
805,7.362494e-06,,,,
193,7.312099e-06,,,,
551,7.2530925e-06,,,,
156,7.226938e-06,,,,
286,7.202347e-06,,,,
79,7.135395e-06,,,,
625,7.00682e-06,,,,
401,6.9469243e-06,,,,
14,6.8420013e-06,,,,
317,6.7336523e-06,,,,
603,6.7044966e-06,,,,
273,6.5911554e-06,,,,
400,6.588227e-06,,,,
468,6.5658724e-06,,,,
659,6.4567457e-06,,,,
767,6.3925413e-06,,,,
507,6.253642e-06,,,,
21,6.0731168e-06,,,,
89,6.0516268e-06,,,,
165,5.9417926e-06,,,,
668,5.876731e-06,,,,
680,5.860562e-06,,,,
556,5.8213636e-06,,,,
660,5.7968045e-06,,,,
108,5.681617e-06,,,,
448,5.614915e-06,,,,
608,5.54024e-06,,,,
290,5.414353e-06,,,,
567,5.398503e-06,,,,
731,5.3869626e-06,,,,
65,5.3004924e-06,,,,
155,5.1851634e-06,,,,
821,5.1270763e-06,,,,
550,5.0220488e-06,,,,
352,5.0217855e-06,,,,
147,4.9929467e-06,,,,
231,4.964738e-06,,,,
697,4.8257575e-06,,,,
295,4.7982876e-06,,,,
250,4.7669027e-06,,,,
270,4.747757e-06,,,,
189,4.721145e-06,,,,
338,4.6285363e-06,,,,
546,4.616999e-06,,,,
291,4.6101527e-06,,,,
462,4.5231145e-06,,,,
786,4.4638796e-06,,,,
440,4.4174394e-06,,,,
671,4.3286577e-06,,,,
386,4.2416236e-06,,,,
586,4.1206413e-06,,,,
655,4.115359e-06,,,,
523,4.045838e-06,,,,
166,3.9938473e-06,,,,
510,3.93797e-06,,,,
87,3.903295e-06,,,,
360,3.892444e-06,,,,
465,3.830559e-06,,,,
540,3.7898835e-06,,,,
97,3.755262e-06,,,,
806,3.6636495e-06,,,,
168,3.5564449e-06,,,,
547,3.5312091e-06,,,,
687,3.5258217e-06,,,,
392,3.515085e-06,,,,
445,3.4856055e-06,,,,
513,3.4338775e-06,,,,
409,3.4330228e-06,,,,
529,3.4023362e-06,,,,
665,3.3676754e-06,,,,
191,3.3032757e-06,,,,
470,3.2694652e-06,,,,
521,3.2635587e-06,,,,
34,3.2564826e-06,,,,
163,3.1692368e-06,,,,
471,3.1653162e-06,,,,
398,3.1493125e-06,,,,
82,3.1073337e-06,,,,
90,3.1046322e-06,,,,
802,3.0517722e-06,,,,
132,3.049695e-06,,,,
449,3.0323347e-06,,,,
131,2.9658277e-06,,,,
396,2.9489534e-06,,,,
331,2.9462913e-06,,,,
123,2.8611853e-06,,,,
484,2.7887263e-06,,,,
457,2.7151748e-06,,,,
490,2.679949e-06,,,,
815,2.679632e-06,,,,
822,2.662171e-06,,,,
13,2.6015985e-06,,,,
461,2.5948116e-06,,,,
296,2.5669815e-06,,,,
198,2.5573934e-06,,,,
770,2.5540687e-06,,,,
30,2.5396946e-06,,,,
774,2.5125228e-06,,,,
157,2.4986398e-06,,,,
588,2.4584597e-06,,,,
595,2.4274323e-06,,,,
362,2.4236456e-06,,,,
37,2.4112053e-06,,,,
284,2.405289e-06,,,,
576,2.3753403e-06,,,,
399,2.3653804e-06,,,,
134,2.3499224e-06,,,,
162,2.2854713e-06,,,,
808,2.2759814e-06,,,,
793,2.2675126e-06,,,,
669,2.2633105e-06,,,,
101,2.228253e-06,,,,
232,2.2204804e-06,,,,
561,2.1895207e-06,,,,
699,2.0668672e-06,,,,
653,1.9991749e-06,,,,
734,1.8943012e-06,,,,
413,1.8820547e-06,,,,
486,1.8552809e-06,,,,
119,1.8446899e-06,,,,
315,1.7783946e-06,,,,
182,1.7548334e-06,,,,
39,1.7393218e-06,,,,
620,1.7126026e-06,,,,
311,1.7068534e-06,,,,
375,1.645686e-06,,,,
755,1.6452043e-06,,,,
252,1.6234695e-06,,,,
633,1.6218663e-06,,,,
55,1.6157775e-06,,,,
426,1.5905057e-06,,,,
585,1.5691255e-06,,,,
179,1.4910999e-06,,,,
244,1.4431618e-06,,,,
499,1.4350014e-06,,,,
0,1.4243203e-06,,,,
635,1.4159573e-06,,,,
619,1.3852516e-06,,,,
322,1.3617764e-06,,,,
340,1.3509161e-06,,,,
634,1.341947e-06,,,,
278,1.3073563e-06,,,,
383,1.3061102e-06,,,,
174,1.2996429e-06,,,,
370,1.2798172e-06,,,,
374,1.2486189e-06,,,,
570,1.2210727e-06,,,,
388,1.1917962e-06,,,,
430,1.180732e-06,,,,
5,1.1730718e-06,,,,
225,1.157229e-06,,,,
318,1.1397659e-06,,,,
530,1.1351092e-06,,,,
729,1.1248887e-06,,,,
261,1.121643e-06,,,,
173,1.1126044e-06,,,,
47,1.0914271e-06,,,,
237,1.0767433e-06,,,,
628,1.0740061e-06,,,,
350,1.0657071e-06,,,,
9,1.0327789e-06,,,,
602,1.0223248e-06,,,,
777,1.0091981e-06,,,,
593,1.0043369e-06,,,,
230,9.992334e-07,,,,
103,9.938324e-07,,,,
281,9.832173e-07,,,,
164,9.74137e-07,,,,
118,9.2644115e-07,,,,
373,9.172918e-07,,,,
432,9.0774614e-07,,,,
612,9.05968e-07,,,,
752,9.0594557e-07,,,,
292,8.6000085e-07,,,,
622,8.394959e-07,,,,
674,8.206413e-07,,,,
197,8.12901e-07,,,,
277,8.0755404e-07,,,,
743,7.723186e-07,,,,
199,7.6729845e-07,,,,
817,7.339818e-07,,,,
20,7.271775e-07,,,,
72,7.264456e-07,,,,
748,7.261567e-07,,,,
405,6.780193e-07,,,,
107,6.671613e-07,,,,
52,6.654368e-07,,,,
685,6.5722213e-07,,,,
337,6.280618e-07,,,,
621,6.196386e-07,,,,
216,6.193149e-07,,,,
739,6.160791e-07,,,,
54,6.106828e-07,,,,
214,6.106409e-07,,,,
824,6.0783225e-07,,,,
450,5.9821184e-07,,,,
109,5.7467344e-07,,,,
636,5.73177e-07,,,,
762,5.6821125e-07,,,,
605,5.673351e-07,,,,
496,5.6262814e-07,,,,
642,5.57051e-07,,,,
328,5.5465864e-07,,,,
351,5.489663e-07,,,,
83,5.285871e-07,,,,
765,5.2344274e-07,,,,
560,5.092568e-07,,,,
429,4.9837155e-07,,,,
716,4.970041e-07,,,,
280,4.875283e-07,,,,
652,4.8497833e-07,,,,
152,4.7697563e-07,,,,
692,4.647478e-07,,,,
812,4.6285825e-07,,,,
663,4.6263935e-07,,,,
696,4.6173048e-07,,,,
792,4.5999133e-07,,,,
428,4.59456e-07,,,,
526,4.2588724e-07,,,,
677,3.9997758e-07,,,,
788,3.777793e-07,,,,
307,3.616513e-07,,,,
610,3.490204e-07,,,,
494,3.331888e-07,,,,
431,3.2951846e-07,,,,
117,3.2949333e-07,,,,
129,3.2748932e-07,,,,
819,3.2723023e-07,,,,
171,3.2592337e-07,,,,
421,3.1660483e-07,,,,
552,3.1545443e-07,,,,
169,3.1293925e-07,,,,
359,3.1174656e-07,,,,
172,3.040238e-07,,,,
160,3.0367e-07,,,,
326,2.9695394e-07,,,,
483,2.9417498e-07,,,,
329,2.8477578e-07,,,,
288,2.802979e-07,,,,
29,2.7961283e-07,,,,
122,2.581659e-07,,,,
306,2.350356e-07,,,,
51,2.1195298e-07,,,,
130,2.1000773e-07,,,,
536,2.057858e-07,,,,
791,2.0529497e-07,,,,
649,1.9117391e-07,,,,
240,1.9095653e-07,,,,
706,1.8465846e-07,,,,
233,1.718272e-07,,,,
347,1.5519564e-07,,,,
316,1.4072157e-07,,,,
637,1.4026897e-07,,,,
267,1.3041256e-07,,,,
751,1.2604099e-07,,,,
497,1.255344e-07,,,,
799,1.1692458e-07,,,,
139,1.0376485e-07,,,,
472,1.0356712e-07,,,,
651,1.0238806e-07,,,,
737,1.0089839e-07,,,,
623,9.94913e-08,,,,
154,9.640784e-08,,,,
727,8.5714035e-08,,,,
6,8.569377e-08,,,,
105,8.043263e-08,,,,
427,8.027415e-08,,,,
694,7.945281e-08,,,,
387,7.731059e-08,,,,
226,6.684653e-08,,,,
745,6.0640936e-08,,,,
615,4.3689774e-08,,,,
825,3.941979e-08,,,,
144,3.850913e-08,,,,
711,3.7074436e-08,,,,
245,3.4581767e-08,,,,
479,2.4695673e-08,,,,
70,2.239467e-08,,,,
48,1.9944805e-08,,,,
210,1.7382536e-08,,,,
192,1.654956e-08,,,,
49,1.3472107e-08,,,,
436,1.1896556e-08,,,,
412,1.0510474e-08,,,,
596,7.8646885e-09,,,,
257,7.278172e-09,,,,
418,6.574954e-09,,,,
3,2.3969113e-09,,,,
