,probability,gold,TP,TN,FP,FN
589,0.00018540025,False,,,,
459,0.00018531084,False,,,,
539,0.0001822114,False,,,,
167,0.00018161535,False,,,,
220,0.00018128753,False,,,,
688,0.00017991662,False,,,,
58,0.00017902255,False,,,,
723,0.00017693639,False,,,,
742,0.00017017126,False,,,,
795,0.00016868114,False,,,,
247,0.00016796589,False,,,,
378,0.00015884638,False,,,,
460,0.00015866756,False,,,,
488,0.00015842915,False,,,,
545,0.0001579225,False,,,,
202,0.00015482306,False,,,,
46,0.000151366,False,,,,
61,0.00014969707,False,,,,
518,0.00014552474,False,,,,
647,0.00014537573,False,,,,
813,0.0001449883,False,,,,
98,0.00014176965,False,,,,
702,0.00013759732,False,,,,
763,0.0001373291,False,,,,
241,0.00013455749,False,,,,
511,0.00012558699,False,,,,
679,0.00012370944,False,,,,
45,0.000121430836,False,,,,
227,0.00012114016,False,,,,
385,0.00012104281,False,,,,
568,0.00012019297,False,,,,
456,0.00011934443,False,,,,
314,0.00011914065,False,,,,
404,0.00011586801,False,,,,
657,0.00011538591,False,,,,
608,0.00011311444,False,,,,
269,0.00011309071,False,,,,
94,0.000112681184,False,,,,
464,0.00010638854,False,,,,
772,0.00010630973,False,,,,
782,0.00010573381,False,,,,
654,0.00010382875,False,,,,
442,0.00010139223,False,,,,
569,0.00010112946,False,,,,
577,9.940429e-05,False,,,,
124,9.825107e-05,False,,,,
38,9.7364755e-05,False,,,,
87,9.5915704e-05,False,,,,
135,9.585453e-05,False,,,,
805,9.379243e-05,False,,,,
732,9.0771246e-05,False,,,,
123,9.0178044e-05,False,,,,
764,8.713831e-05,False,,,,
31,8.600411e-05,False,,,,
12,8.561833e-05,False,,,,
363,8.540557e-05,False,,,,
369,8.391678e-05,False,,,,
705,8.238469e-05,False,,,,
262,8.23188e-05,False,,,,
802,8.134354e-05,False,,,,
339,8.1224476e-05,False,,,,
186,8.112175e-05,False,,,,
271,7.935404e-05,False,,,,
411,7.767446e-05,False,,,,
145,7.4493626e-05,False,,,,
771,7.356553e-05,False,,,,
573,7.2056486e-05,False,,,,
709,7.202564e-05,False,,,,
644,7.117287e-05,False,,,,
222,7.11032e-05,False,,,,
678,7.1079194e-05,False,,,,
703,7.052699e-05,False,,,,
264,7.040825e-05,False,,,,
708,7.007565e-05,False,,,,
673,6.928005e-05,False,,,,
199,6.877613e-05,False,,,,
515,6.869504e-05,False,,,,
535,6.868901e-05,False,,,,
686,6.841189e-05,False,,,,
275,6.777691e-05,False,,,,
204,6.706617e-05,False,,,,
268,6.706527e-05,False,,,,
714,6.695395e-05,False,,,,
587,6.682286e-05,False,,,,
246,6.681674e-05,False,,,,
680,6.601639e-05,False,,,,
235,6.575632e-05,False,,,,
595,6.506819e-05,False,,,,
638,6.492581e-05,False,,,,
630,6.464963e-05,False,,,,
738,6.371516e-05,False,,,,
304,6.1094266e-05,False,,,,
263,5.987541e-05,False,,,,
510,5.928675e-05,False,,,,
88,5.839627e-05,False,,,,
206,5.7810295e-05,False,,,,
807,5.746537e-05,False,,,,
372,5.6735247e-05,False,,,,
528,5.6479897e-05,False,,,,
25,5.6119254e-05,False,,,,
8,5.570861e-05,False,,,,
559,5.543747e-05,False,,,,
575,5.531263e-05,False,,,,
301,5.4891185e-05,False,,,,
599,5.4642936e-05,False,,,,
140,5.424977e-05,False,,,,
35,5.424625e-05,False,,,,
648,5.2469277e-05,False,,,,
229,5.1775613e-05,False,,,,
754,5.1693365e-05,False,,,,
207,5.111866e-05,False,,,,
321,5.0595674e-05,False,,,,
671,5.0137725e-05,False,,,,
512,4.882449e-05,False,,,,
641,4.8422502e-05,False,,,,
400,4.815724e-05,False,,,,
476,4.743885e-05,False,,,,
254,4.6893598e-05,False,,,,
804,4.5808618e-05,False,,,,
617,4.5112272e-05,False,,,,
327,4.4746823e-05,False,,,,
665,4.463635e-05,False,,,,
375,4.4005556e-05,False,,,,
380,4.4003078e-05,False,,,,
14,4.3677595e-05,False,,,,
97,4.2941752e-05,False,,,,
334,4.198955e-05,False,,,,
391,4.1680632e-05,False,,,,
113,3.942098e-05,False,,,,
794,3.9223312e-05,False,,,,
506,3.9109687e-05,False,,,,
668,3.8695172e-05,False,,,,
600,3.8684175e-05,False,,,,
401,3.8304257e-05,False,,,,
437,3.791682e-05,False,,,,
161,3.719174e-05,False,,,,
419,3.7052716e-05,False,,,,
455,3.6978658e-05,False,,,,
735,3.68392e-05,False,,,,
423,3.6752557e-05,False,,,,
810,3.6634454e-05,False,,,,
627,3.659887e-05,False,,,,
203,3.654143e-05,False,,,,
406,3.64878e-05,False,,,,
809,3.5767767e-05,False,,,,
780,3.498769e-05,False,,,,
258,3.4965677e-05,False,,,,
358,3.4670316e-05,False,,,,
717,3.3933135e-05,False,,,,
474,3.2964894e-05,False,,,,
101,3.2153053e-05,False,,,,
550,3.191787e-05,False,,,,
354,3.1819276e-05,False,,,,
147,3.083536e-05,False,,,,
507,3.069011e-05,False,,,,
715,3.0515352e-05,False,,,,
95,3.027196e-05,False,,,,
285,3.018988e-05,False,,,,
370,2.9601126e-05,False,,,,
295,2.9560053e-05,False,,,,
701,2.919038e-05,False,,,,
660,2.9085979e-05,False,,,,
619,2.8769304e-05,False,,,,
462,2.8733139e-05,False,,,,
367,2.8696635e-05,False,,,,
803,2.8377866e-05,False,,,,
72,2.837137e-05,False,,,,
84,2.8139202e-05,False,,,,
209,2.7902814e-05,False,,,,
576,2.778351e-05,False,,,,
174,2.7039641e-05,False,,,,
89,2.6928135e-05,False,,,,
37,2.6850486e-05,False,,,,
786,2.6652131e-05,False,,,,
80,2.6643516e-05,False,,,,
176,2.6541315e-05,False,,,,
238,2.6537542e-05,False,,,,
394,2.6475333e-05,False,,,,
631,2.622377e-05,False,,,,
265,2.6041738e-05,False,,,,
388,2.6011756e-05,False,,,,
194,2.5903451e-05,False,,,,
250,2.5797764e-05,False,,,,
504,2.536525e-05,False,,,,
699,2.5303882e-05,False,,,,
798,2.4822104e-05,False,,,,
125,2.481472e-05,False,,,,
538,2.4794186e-05,False,,,,
628,2.4786976e-05,False,,,,
736,2.4717741e-05,False,,,,
10,2.4647406e-05,False,,,,
311,2.4557357e-05,False,,,,
50,2.4345994e-05,False,,,,
157,2.4202374e-05,False,,,,
324,2.4026629e-05,False,,,,
426,2.3877537e-05,False,,,,
720,2.3708672e-05,False,,,,
675,2.3610588e-05,False,,,,
243,2.3543764e-05,False,,,,
223,2.3538105e-05,False,,,,
248,2.306563e-05,False,,,,
200,2.2968234e-05,False,,,,
527,2.283344e-05,False,,,,
283,2.2739323e-05,False,,,,
21,2.228577e-05,False,,,,
131,2.221833e-05,False,,,,
90,2.1933776e-05,False,,,,
310,2.1780528e-05,False,,,,
53,2.1746884e-05,False,,,,
366,2.1695076e-05,False,,,,
24,2.1644733e-05,False,,,,
601,2.1553791e-05,False,,,,
416,2.1533306e-05,False,,,,
603,2.1148717e-05,False,,,,
444,2.1067473e-05,False,,,,
729,2.0480806e-05,False,,,,
433,2.0393898e-05,False,,,,
279,2.033251e-05,False,,,,
389,2.0007341e-05,False,,,,
93,1.9815761e-05,False,,,,
211,1.9785417e-05,False,,,,
239,1.9694751e-05,False,,,,
816,1.952742e-05,False,,,,
92,1.888467e-05,False,,,,
13,1.8703413e-05,False,,,,
273,1.828786e-05,False,,,,
516,1.8016888e-05,False,,,,
590,1.8008934e-05,False,,,,
346,1.7989074e-05,False,,,,
746,1.7986347e-05,False,,,,
487,1.7895596e-05,False,,,,
26,1.7859606e-05,False,,,,
580,1.7739963e-05,False,,,,
386,1.759607e-05,False,,,,
297,1.7576682e-05,False,,,,
499,1.7427214e-05,False,,,,
796,1.6898382e-05,False,,,,
146,1.6837494e-05,False,,,,
260,1.683194e-05,False,,,,
591,1.6831682e-05,False,,,,
272,1.6741791e-05,False,,,,
7,1.6596716e-05,False,,,,
434,1.6539896e-05,False,,,,
300,1.6478196e-05,False,,,,
536,1.645486e-05,False,,,,
451,1.6443439e-05,False,,,,
513,1.6048532e-05,False,,,,
142,1.5803702e-05,False,,,,
775,1.5669535e-05,False,,,,
359,1.5396323e-05,False,,,,
774,1.528155e-05,False,,,,
677,1.5241729e-05,False,,,,
158,1.5120175e-05,False,,,,
66,1.5093781e-05,False,,,,
571,1.4789325e-05,False,,,,
225,1.4734491e-05,False,,,,
716,1.4428336e-05,False,,,,
467,1.433503e-05,False,,,,
292,1.4254774e-05,False,,,,
558,1.4117403e-05,False,,,,
533,1.3851519e-05,False,,,,
800,1.3838025e-05,False,,,,
531,1.3737881e-05,False,,,,
480,1.371067e-05,False,,,,
103,1.359317e-05,False,,,,
360,1.3470997e-05,False,,,,
604,1.3400984e-05,False,,,,
585,1.3369237e-05,False,,,,
445,1.3335683e-05,False,,,,
187,1.3197085e-05,False,,,,
722,1.2896613e-05,False,,,,
766,1.2746776e-05,False,,,,
450,1.2727924e-05,False,,,,
546,1.2670143e-05,False,,,,
691,1.2564699e-05,False,,,,
282,1.25101415e-05,False,,,,
661,1.243282e-05,False,,,,
521,1.243237e-05,False,,,,
544,1.2339586e-05,False,,,,
183,1.223939e-05,False,,,,
392,1.2119487e-05,False,,,,
261,1.2029291e-05,False,,,,
430,1.1973358e-05,False,,,,
822,1.1918934e-05,False,,,,
60,1.1852827e-05,False,,,,
47,1.1726284e-05,False,,,,
664,1.1560019e-05,False,,,,
71,1.1449599e-05,False,,,,
606,1.1267317e-05,False,,,,
582,1.1189906e-05,False,,,,
228,1.1092698e-05,False,,,,
114,1.1000349e-05,False,,,,
317,1.0720102e-05,False,,,,
305,1.0253903e-05,False,,,,
175,1.021344e-05,False,,,,
63,9.996847e-06,False,,,,
43,9.963601e-06,False,,,,
486,9.941496e-06,False,,,,
322,9.887441e-06,False,,,,
820,9.8866485e-06,False,,,,
193,9.789878e-06,False,,,,
443,9.77359e-06,False,,,,
115,9.688177e-06,False,,,,
299,9.586874e-06,False,,,,
490,9.5103e-06,False,,,,
371,9.4090265e-06,False,,,,
801,9.383111e-06,False,,,,
698,9.268251e-06,False,,,,
470,9.203574e-06,False,,,,
741,9.0257245e-06,False,,,,
76,8.973576e-06,False,,,,
818,8.948708e-06,False,,,,
315,8.941721e-06,False,,,,
286,8.863391e-06,False,,,,
189,8.775372e-06,False,,,,
213,8.760329e-06,False,,,,
520,8.747031e-06,False,,,,
150,8.710254e-06,False,,,,
133,8.692074e-06,False,,,,
409,8.246341e-06,False,,,,
461,8.2162605e-06,False,,,,
530,8.200916e-06,False,,,,
407,8.126759e-06,False,,,,
454,8.042634e-06,False,,,,
30,8.018708e-06,False,,,,
448,8.000971e-06,False,,,,
331,7.992018e-06,False,,,,
655,7.95724e-06,False,,,,
54,7.902058e-06,False,,,,
266,7.891402e-06,False,,,,
432,7.8058265e-06,False,,,,
290,7.773533e-06,False,,,,
547,7.74254e-06,False,,,,
770,7.632287e-06,False,,,,
374,7.6230485e-06,False,,,,
81,7.619836e-06,False,,,,
284,7.550832e-06,False,,,,
308,7.486543e-06,False,,,,
181,7.461567e-06,False,,,,
5,7.4332143e-06,False,,,,
676,7.403119e-06,False,,,,
132,7.392593e-06,False,,,,
169,7.3346437e-06,False,,,,
440,7.2898183e-06,False,,,,
329,7.2267726e-06,False,,,,
79,7.158085e-06,False,,,,
152,7.14142e-06,False,,,,
477,7.114929e-06,False,,,,
294,6.963573e-06,False,,,,
424,6.7502406e-06,False,,,,
278,6.6737166e-06,False,,,,
565,6.6598377e-06,False,,,,
685,6.608111e-06,False,,,,
156,6.5875106e-06,False,,,,
338,6.4725846e-06,False,,,,
165,6.4589813e-06,False,,,,
357,6.4477126e-06,False,,,,
540,6.437526e-06,False,,,,
806,6.3692773e-06,False,,,,
633,6.3119473e-06,False,,,,
215,6.1076057e-06,False,,,,
760,6.037158e-06,False,,,,
508,6.036991e-06,False,,,,
783,6.0039656e-06,False,,,,
756,5.896076e-06,False,,,,
704,5.8499973e-06,False,,,,
817,5.8333785e-06,False,,,,
602,5.8232235e-06,False,,,,
276,5.6426197e-06,False,,,,
567,5.6402523e-06,False,,,,
475,5.5963487e-06,False,,,,
551,5.567252e-06,False,,,,
9,5.520894e-06,False,,,,
815,5.4921475e-06,False,,,,
168,5.4427696e-06,False,,,,
65,5.358648e-06,False,,,,
425,5.2721043e-06,False,,,,
640,5.2570526e-06,False,,,,
179,5.2198243e-06,False,,,,
288,5.1790007e-06,False,,,,
17,5.1473644e-06,False,,,,
652,5.01051e-06,False,,,,
237,4.9628966e-06,False,,,,
191,4.956284e-06,False,,,,
102,4.8586276e-06,False,,,,
109,4.8539637e-06,False,,,,
82,4.8521033e-06,False,,,,
622,4.7829044e-06,False,,,,
221,4.733444e-06,False,,,,
234,4.661325e-06,False,,,,
155,4.585978e-06,False,,,,
793,4.584242e-06,False,,,,
750,4.507436e-06,False,,,,
733,4.4886306e-06,False,,,,
119,4.4400695e-06,False,,,,
429,4.4335493e-06,False,,,,
252,4.4095013e-06,False,,,,
482,4.4002386e-06,False,,,,
231,4.319272e-06,False,,,,
398,4.2735255e-06,False,,,,
586,4.250751e-06,False,,,,
697,4.22959e-06,False,,,,
352,4.219317e-06,False,,,,
639,4.202795e-06,False,,,,
162,4.1699536e-06,False,,,,
36,4.1605313e-06,False,,,,
529,4.1456074e-06,False,,,,
634,4.023333e-06,False,,,,
163,3.931077e-06,False,,,,
620,3.8124313e-06,False,,,,
484,3.7631994e-06,False,,,,
739,3.7350608e-06,False,,,,
361,3.6705426e-06,False,,,,
153,3.6678832e-06,False,,,,
230,3.6583078e-06,False,,,,
614,3.6528693e-06,False,,,,
403,3.6441984e-06,False,,,,
78,3.5458652e-06,False,,,,
556,3.4971326e-06,False,,,,
517,3.477849e-06,False,,,,
232,3.4346535e-06,False,,,,
6,3.3208978e-06,False,,,,
11,3.3201252e-06,False,,,,
340,3.2841558e-06,False,,,,
52,3.2488022e-06,False,,,,
612,3.2432547e-06,False,,,,
130,3.2034222e-06,False,,,,
592,3.1707696e-06,False,,,,
821,3.1449426e-06,False,,,,
566,3.0898518e-06,False,,,,
402,3.0412518e-06,False,,,,
214,3.0197293e-06,False,,,,
291,2.9957152e-06,False,,,,
318,2.976158e-06,False,,,,
726,2.9417456e-06,False,,,,
755,2.9160399e-06,False,,,,
56,2.8557986e-06,False,,,,
792,2.833026e-06,False,,,,
560,2.813224e-06,False,,,,
625,2.8065087e-06,False,,,,
270,2.749086e-06,False,,,,
719,2.7078052e-06,False,,,,
39,2.6839414e-06,False,,,,
635,2.6204057e-06,False,,,,
351,2.5826996e-06,False,,,,
743,2.5612376e-06,False,,,,
819,2.4872352e-06,False,,,,
350,2.4149035e-06,False,,,,
136,2.3649495e-06,False,,,,
700,2.345259e-06,False,,,,
216,2.2991476e-06,False,,,,
523,2.294552e-06,False,,,,
808,2.2899635e-06,False,,,,
173,2.2039508e-06,False,,,,
449,2.158377e-06,False,,,,
20,2.1066437e-06,False,,,,
373,2.0774594e-06,False,,,,
256,2.075487e-06,False,,,,
296,2.0128746e-06,False,,,,
588,2.0122834e-06,False,,,,
636,2.0119226e-06,False,,,,
180,2.0077384e-06,False,,,,
337,1.973639e-06,False,,,,
593,1.947766e-06,False,,,,
277,1.9347233e-06,False,,,,
118,1.9063239e-06,False,,,,
362,1.9012421e-06,False,,,,
605,1.8762304e-06,False,,,,
471,1.8667977e-06,False,,,,
762,1.8655234e-06,False,,,,
696,1.7884344e-06,False,,,,
55,1.7881376e-06,False,,,,
197,1.7730872e-06,False,,,,
244,1.7726866e-06,False,,,,
399,1.7677992e-06,False,,,,
653,1.756635e-06,False,,,,
669,1.7324878e-06,False,,,,
349,1.7250868e-06,False,,,,
663,1.6858551e-06,False,,,,
496,1.6573963e-06,False,,,,
198,1.5944088e-06,False,,,,
811,1.5692631e-06,False,,,,
468,1.5614571e-06,False,,,,
335,1.539727e-06,False,,,,
413,1.5308294e-06,False,,,,
748,1.4853022e-06,False,,,,
734,1.4738672e-06,False,,,,
83,1.4681981e-06,False,,,,
457,1.4603808e-06,False,,,,
405,1.4438515e-06,False,,,,
431,1.4304392e-06,False,,,,
651,1.4212592e-06,False,,,,
129,1.3886934e-06,False,,,,
160,1.3821532e-06,False,,,,
421,1.367307e-06,False,,,,
623,1.3367905e-06,False,,,,
621,1.3168012e-06,False,,,,
347,1.2152744e-06,False,,,,
526,1.2005744e-06,False,,,,
240,1.1958618e-06,False,,,,
281,1.1810857e-06,False,,,,
494,1.1362658e-06,False,,,,
642,1.1209532e-06,False,,,,
706,1.0569096e-06,False,,,,
465,1.0496752e-06,False,,,,
107,1.0269312e-06,False,,,,
824,1.0175819e-06,False,,,,
105,9.965468e-07,False,,,,
537,9.771339e-07,False,,,,
637,9.758562e-07,False,,,,
765,9.697324e-07,False,,,,
0,9.485395e-07,False,,,,
483,9.421943e-07,False,,,,
328,9.2757807e-07,False,,,,
812,9.011288e-07,False,,,,
122,8.962795e-07,False,,,,
134,8.901302e-07,False,,,,
307,8.480974e-07,False,,,,
29,8.4450255e-07,False,,,,
542,8.2961185e-07,False,,,,
737,8.1410354e-07,False,,,,
674,8.0991487e-07,False,,,,
34,7.771698e-07,False,,,,
799,7.5773164e-07,False,,,,
326,7.4871673e-07,False,,,,
306,6.814322e-07,False,,,,
649,6.52873e-07,False,,,,
280,6.3454655e-07,False,,,,
218,6.3283323e-07,False,,,,
751,6.3056746e-07,False,,,,
791,6.149696e-07,False,,,,
610,6.057201e-07,False,,,,
396,5.9951856e-07,False,,,,
777,5.482181e-07,False,,,,
171,5.252264e-07,False,,,,
267,5.199987e-07,False,,,,
154,4.6733854e-07,False,,,,
615,4.6636706e-07,False,,,,
51,4.6302603e-07,False,,,,
570,4.2388714e-07,False,,,,
164,3.8245594e-07,False,,,,
561,3.618797e-07,False,,,,
233,3.2595725e-07,False,,,,
692,3.1650006e-07,False,,,,
552,2.954855e-07,False,,,,
727,2.816374e-07,False,,,,
788,2.7644063e-07,False,,,,
752,2.5937217e-07,False,,,,
172,2.3167458e-07,False,,,,
731,2.264933e-07,False,,,,
387,2.1621213e-07,False,,,,
472,2.0956058e-07,False,,,,
182,2.061362e-07,False,,,,
192,1.9469476e-07,False,,,,
316,1.9141801e-07,False,,,,
711,1.8988962e-07,False,,,,
497,1.7667297e-07,False,,,,
436,1.6942741e-07,False,,,,
144,1.4475802e-07,False,,,,
428,1.417102e-07,False,,,,
479,1.2594246e-07,False,,,,
70,1.2459633e-07,False,,,,
117,1.2310528e-07,False,,,,
562,1.0441684e-07,False,,,,
383,9.670508e-08,False,,,,
245,8.234082e-08,False,,,,
139,8.011874e-08,False,,,,
825,6.802794e-08,False,,,,
412,6.760445e-08,False,,,,
745,5.6205884e-08,False,,,,
49,4.8433282e-08,False,,,,
257,4.5203027e-08,False,,,,
427,4.1757197e-08,False,,,,
418,3.511282e-08,False,,,,
596,2.9309446e-08,False,,,,
48,2.7276453e-08,False,,,,
210,2.6764443e-08,False,,,,
226,1.6791784e-08,False,,,,
694,8.44629e-09,False,,,,
3,5.682155e-09,False,,,,
