,probability,TN,TP,FN
794,4.5342815e-05,,,
170,4.527942e-05,,,
348,4.448281e-05,,,
8,4.3920863e-05,,,
601,4.14822e-05,,,
686,4.1257274e-05,,,
758,4.1006188e-05,,,
290,4.040207e-05,,,
779,3.9862425e-05,,,
702,3.8617753e-05,,,
266,3.5625773e-05,,,
358,3.544893e-05,,,
140,3.510835e-05,,,
549,3.494324e-05,,,
522,3.430439e-05,,,
516,3.1911477e-05,,,
355,3.0261424e-05,,,
749,2.9534467e-05,,,
2,2.9403755e-05,,,
38,2.8906154e-05,,,
733,2.7758932e-05,,,
249,2.6733107e-05,,,
506,2.6567956e-05,,,
248,2.5275302e-05,,,
273,2.4798775e-05,,,
670,2.477119e-05,,,
707,2.439036e-05,,,
27,2.4125868e-05,,,
568,2.350103e-05,,,
419,2.3485234e-05,,,
797,2.3271357e-05,,,
259,2.3141887e-05,,,
285,2.3052722e-05,,,
656,2.2873977e-05,,,
580,2.262403e-05,,,
532,2.1808526e-05,,,
658,2.1765536e-05,,,
644,2.1089383e-05,,,
803,2.0464444e-05,,,
756,1.992879e-05,,,
582,1.9878298e-05,,,
168,1.9251867e-05,,,
272,1.8871293e-05,,,
781,1.851494e-05,,,
243,1.8352697e-05,,,
305,1.82675e-05,,,
96,1.7910228e-05,,,
80,1.7732269e-05,,,
732,1.74112e-05,,,
480,1.7013823e-05,,,
262,1.681676e-05,,,
177,1.5865418e-05,,,
750,1.5820666e-05,,,
766,1.5325846e-05,,,
287,1.4933833e-05,,,
312,1.4446593e-05,,,
584,1.4089749e-05,,,
319,1.3951254e-05,,,
128,1.3651396e-05,,,
424,1.35480805e-05,,,
229,1.32901805e-05,,,
126,1.2997589e-05,,,
260,1.2151859e-05,,,
54,1.1925108e-05,,,
62,1.1871414e-05,,,
741,1.1613246e-05,,,
590,1.15668445e-05,,,
609,1.15203e-05,,,
775,1.1479393e-05,,,
403,1.145258e-05,,,
33,1.1236638e-05,,,
234,1.1228529e-05,,,
566,1.1216949e-05,,,
370,1.0997255e-05,,,
795,1.0822103e-05,,,
787,1.066042e-05,,,
193,1.0655826e-05,,,
664,1.0401611e-05,,,
823,1.0322073e-05,,,
780,1.0184203e-05,,,
406,1.0123874e-05,,,
246,1.0071737e-05,,,
726,1.0038031e-05,,,
591,9.966661e-06,,,
454,9.919817e-06,,,
592,9.7264565e-06,,,
372,9.6475815e-06,,,
149,9.550864e-06,,,
93,9.363847e-06,,,
79,9.158648e-06,,,
363,8.980022e-06,,,
333,8.929041e-06,,,
640,8.779759e-06,,,
776,8.771247e-06,,,
390,8.73317e-06,,,
211,8.697107e-06,,,
821,8.690424e-06,,,
12,8.672508e-06,,,
124,8.553423e-06,,,
519,8.484044e-06,,,
723,8.308023e-06,,,
456,8.250298e-06,,,
224,8.243008e-06,,,
204,8.141824e-06,,,
539,8.105064e-06,,,
19,8.0031e-06,,,
381,7.8110015e-06,,,
64,7.630897e-06,,,
223,7.572856e-06,,,
395,7.4322575e-06,,,
468,7.4100344e-06,,,
295,7.4002887e-06,,,
150,7.2613702e-06,,,
324,7.140344e-06,,,
746,7.0665246e-06,,,
391,7.0009755e-06,,,
357,6.9751045e-06,,,
638,6.839855e-06,,,
464,6.7988635e-06,,,
809,6.705884e-06,,,
238,6.679492e-06,,,
111,6.675741e-06,,,
606,6.6169714e-06,,,
757,6.6106577e-06,,,
571,6.6005277e-06,,,
597,6.4716955e-06,,,
200,6.33867e-06,,,
402,6.2189865e-06,,,
533,6.1697956e-06,,,
518,6.155831e-06,,,
202,6.146504e-06,,,
74,6.1383143e-06,,,
42,6.12528e-06,,,
504,6.0934217e-06,,,
559,5.7153266e-06,,,
442,5.66979e-06,,,
206,5.651608e-06,,,
69,5.6029653e-06,,,
679,5.387661e-06,,,
176,5.385622e-06,,,
786,5.1810903e-06,,,
314,5.1120824e-06,,,
178,5.1095335e-06,,,
439,5.0924727e-06,,,
813,5.0502995e-06,,,
558,4.955391e-06,,,
511,4.893466e-06,,,
362,4.766053e-06,,,
187,4.687953e-06,,,
805,4.6245873e-06,,,
719,4.6191217e-06,,,
735,4.6179634e-06,,,
616,4.529745e-06,,,
325,4.5098827e-06,,,
102,4.506078e-06,,,
675,4.4409926e-06,,,
458,4.343147e-06,,,
648,4.2937268e-06,,,
201,4.262556e-06,,,
127,4.151067e-06,,,
300,4.137617e-06,,,
115,4.0759755e-06,,,
156,4.023333e-06,,,
783,4.0205864e-06,,,
213,4.008408e-06,,,
673,3.8771727e-06,,,
647,3.8322837e-06,,,
258,3.800771e-06,,,
282,3.6709628e-06,,,
713,3.659016e-06,,,
24,3.591024e-06,,,
45,3.5905653e-06,,,
718,3.5900312e-06,,,
788,3.5563942e-06,,,
4,3.5334629e-06,,,
524,3.531913e-06,,,
155,3.4301004e-06,,,
291,3.3991157e-06,,,
491,3.347723e-06,,,
375,3.3220224e-06,,,
207,3.3160748e-06,,,
451,3.2773069e-06,,,
778,3.2528076e-06,,,
26,3.251567e-06,,,
242,3.1810464e-06,,,
646,3.1736406e-06,,,
538,3.1676836e-06,,,
247,3.167569e-06,,,
396,3.1130019e-06,,,
409,3.0872097e-06,,,
669,3.071185e-06,,,
371,3.0210977e-06,,,
397,2.9836747e-06,,,
461,2.9769953e-06,,,
603,2.9700873e-06,,,
135,2.9657597e-06,,,
789,2.952406e-06,,,
264,2.9521161e-06,,,
467,2.8812233e-06,,,
183,2.8135323e-06,,,
619,2.7462584e-06,,,
389,2.7264596e-06,,,
121,2.6950165e-06,,,
736,2.6580765e-06,,,
661,2.634352e-06,,,
94,2.5496736e-06,,,
394,2.5430054e-06,,,
807,2.5147115e-06,,,
43,2.5082948e-06,,,
437,2.5007662e-06,,,
527,2.4649767e-06,,,
145,2.349862e-06,,,
722,2.3469952e-06,,,
113,2.3370092e-06,,,
676,2.326034e-06,,,
521,2.2464062e-06,,,
690,2.2404563e-06,,,
175,2.2249467e-06,,,
167,2.2090242e-06,,,
180,2.2077963e-06,,,
271,2.1380847e-06,,,
34,2.121448e-06,,,
346,2.1189428e-06,,,
703,2.114784e-06,,,
509,2.0499594e-06,,,
162,2.006632e-06,,,
327,2.0014527e-06,,,
71,1.966085e-06,,,
192,1.9603428e-06,,,
166,1.9431443e-06,,,
195,1.9317274e-06,,,
477,1.9178613e-06,,,
378,1.9144256e-06,,,
125,1.8957289e-06,,,
376,1.8828985e-06,,,
492,1.8688925e-06,,,
800,1.8674885e-06,,,
708,1.8167974e-06,,,
14,1.76107e-06,,,
433,1.7589333e-06,,,
545,1.7362507e-06,,,
76,1.7154599e-06,,,
631,1.7045695e-06,,,
63,1.6750903e-06,,,
523,1.6480026e-06,,,
393,1.6153291e-06,,,
239,1.5778348e-06,,,
400,1.5758408e-06,,,
517,1.5414166e-06,,,
748,1.4958341e-06,,,
198,1.4396757e-06,,,
429,1.4323011e-06,,,
443,1.412968e-06,,,
158,1.4123389e-06,,,
503,1.4023105e-06,,,
754,1.3609688e-06,,,
44,1.3577707e-06,,,
688,1.351844e-06,,,
589,1.3425794e-06,,,
286,1.340526e-06,,,
294,1.3392034e-06,,,
550,1.3250739e-06,,,
174,1.3199331e-06,,,
624,1.3154807e-06,,,
84,1.2625243e-06,,,
407,1.2583256e-06,,,
132,1.2424612e-06,,,
554,1.2056493e-06,,,
334,1.1826388e-06,,,
444,1.1516845e-06,,,
531,1.1452105e-06,,,
146,1.1413867e-06,,,
818,1.1186166e-06,,,
573,1.1074353e-06,,,
7,1.0943652e-06,,,
88,1.0889776e-06,,,
583,1.0835998e-06,,,
565,1.082313e-06,,,
771,1.0787938e-06,,,
60,1.0325238e-06,,,
604,1.0091875e-06,,,
87,9.912502e-07,,,
199,9.857054e-07,,,
137,9.838495e-07,,,
317,9.62529e-07,,,
476,9.570655e-07,,,
715,9.449929e-07,,,
699,9.438364e-07,,,
599,9.285401e-07,,,
66,9.15261e-07,,,
543,9.108984e-07,,,
499,9.0880206e-07,,,
816,8.92015e-07,,,
297,8.7960717e-07,,,
486,8.670295e-07,,,
191,8.591131e-07,,,
569,8.512081e-07,,,
299,8.422152e-07,,,
513,8.3938545e-07,,,
625,8.1760095e-07,,,
25,8.0076006e-07,,,
660,7.966636e-07,,,
142,7.721602e-07,,,
165,7.671975e-07,,,
460,7.670636e-07,,,
83,7.6654294e-07,,,
537,7.642684e-07,,,
103,7.642524e-07,,,
100,7.6061394e-07,,,
301,7.418763e-07,,,
685,7.065221e-07,,,
90,7.054408e-07,,,
161,7.0444713e-07,,,
680,6.971796e-07,,,
310,6.9230254e-07,,,
265,6.6817313e-07,,,
119,6.558922e-07,,,
82,6.5165e-07,,,
5,6.5132696e-07,,,
97,6.483584e-07,,,
216,6.4662385e-07,,,
228,6.3771756e-07,,,
630,6.3322864e-07,,,
152,6.2957724e-07,,,
796,6.2699775e-07,,,
275,6.2577135e-07,,,
484,6.2306185e-07,,,
717,6.194455e-07,,,
374,6.1826387e-07,,,
109,6.0823817e-07,,,
81,6.031958e-07,,,
254,5.9932245e-07,,,
620,5.9379886e-07,,,
490,5.926645e-07,,,
179,5.7478246e-07,,,
101,5.567706e-07,,,
184,5.5674616e-07,,,
716,5.483745e-07,,,
55,5.46703e-07,,,
221,5.4131266e-07,,,
542,5.390074e-07,,,
388,5.237504e-07,,,
731,5.229812e-07,,,
474,5.176885e-07,,,
399,5.174555e-07,,,
487,5.1683355e-07,,,
459,5.1095014e-07,,,
471,5.0624726e-07,,,
742,5.055829e-07,,,
53,5.042159e-07,,,
78,5.038756e-07,,,
570,5.033386e-07,,,
194,5.0317783e-07,,,
147,4.998571e-07,,,
235,4.983701e-07,,,
231,4.9574965e-07,,,
133,4.8667914e-07,,,
551,4.8641743e-07,,,
215,4.800711e-07,,,
684,4.791485e-07,,,
808,4.7215704e-07,,,
276,4.612279e-07,,,
544,4.5917392e-07,,,
448,4.5730528e-07,,,
171,4.5721325e-07,,,
628,4.5177669e-07,,,
820,4.4823142e-07,,,
755,4.445393e-07,,,
338,4.3335913e-07,,,
697,4.3068275e-07,,,
449,4.2643794e-07,,,
595,4.1753316e-07,,,
575,4.043082e-07,,,
773,3.9737586e-07,,,
586,3.963857e-07,,,
186,3.929055e-07,,,
65,3.9176916e-07,,,
457,3.900152e-07,,,
315,3.8099068e-07,,,
445,3.7723134e-07,,,
730,3.7569043e-07,,,
465,3.7479793e-07,,,
729,3.7392252e-07,,,
123,3.7171245e-07,,,
114,3.6347313e-07,,,
798,3.602891e-07,,,
361,3.493381e-07,,,
386,3.4809761e-07,,,
473,3.463152e-07,,,
540,3.406461e-07,,,
404,3.3609425e-07,,,
529,3.3583217e-07,,,
270,3.3564996e-07,,,
401,3.2703957e-07,,,
134,3.1944057e-07,,,
812,3.1897238e-07,,,
434,3.1509242e-07,,,
546,3.1189018e-07,,,
802,3.0917425e-07,,,
417,3.0861307e-07,,,
136,3.0249564e-07,,,
475,2.9992384e-07,,,
261,2.9918223e-07,,,
508,2.9917766e-07,,,
654,2.9121864e-07,,,
232,2.797155e-07,,,
791,2.7038556e-07,,,
277,2.682223e-07,,,
738,2.6258053e-07,,,
633,2.568969e-07,,,
292,2.5186415e-07,,,
432,2.5092888e-07,,,
612,2.4674475e-07,,,
674,2.412278e-07,,,
214,2.3807117e-07,,,
440,2.3680425e-07,,,
567,2.3368163e-07,,,
793,2.3351032e-07,,,
627,2.2996946e-07,,,
56,2.2754116e-07,,,
822,2.2716347e-07,,,
218,2.240673e-07,,,
39,2.1946393e-07,,,
556,2.1926455e-07,,,
801,2.1726711e-07,,,
588,2.1653217e-07,,,
520,2.1600727e-07,,,
462,2.1311396e-07,,,
639,2.0916784e-07,,,
309,2.087852e-07,,,
169,2.0815634e-07,,,
296,2.077476e-07,,,
413,2.0480707e-07,,,
131,2.0058962e-07,,,
665,1.943134e-07,,,
774,1.9231405e-07,,,
494,1.9176937e-07,,,
762,1.9083019e-07,,,
117,1.8777025e-07,,,
472,1.8726345e-07,,,
426,1.8663428e-07,,,
172,1.8566428e-07,,,
622,1.8404769e-07,,,
585,1.83725e-07,,,
318,1.829981e-07,,,
252,1.8091129e-07,,,
118,1.8022558e-07,,,
284,1.8016235e-07,,,
455,1.7858719e-07,,,
739,1.7544828e-07,,,
770,1.735601e-07,,,
47,1.6964245e-07,,,
614,1.6602746e-07,,,
651,1.6036262e-07,,,
709,1.5574066e-07,,,
700,1.5432045e-07,,,
107,1.5316449e-07,,,
340,1.5262528e-07,,,
21,1.5067432e-07,,,
222,1.4962986e-07,,,
326,1.4487168e-07,,,
587,1.4421553e-07,,,
398,1.4320845e-07,,,
181,1.4211487e-07,,,
562,1.4081756e-07,,,
734,1.4041605e-07,,,
92,1.3994227e-07,,,
11,1.3633337e-07,,,
767,1.334287e-07,,,
139,1.3202623e-07,,,
337,1.2878397e-07,,,
256,1.2657932e-07,,,
263,1.2550208e-07,,,
17,1.2466539e-07,,,
696,1.212151e-07,,,
50,1.2031126e-07,,,
250,1.1909207e-07,,,
311,1.1772571e-07,,,
777,1.159021e-07,,,
308,1.1580354e-07,,,
642,1.1577836e-07,,,
225,1.154302e-07,,,
765,1.1437888e-07,,,
350,1.136092e-07,,,
530,1.12815634e-07,,,
416,1.1101089e-07,,,
359,1.0934633e-07,,,
0,1.0710036e-07,,,
13,1.05878044e-07,,,
157,1.0538322e-07,,,
635,1.0478773e-07,,,
9,1.03788594e-07,,,
817,1.0266026e-07,,,
130,1.0249181e-07,,,
450,1.00423776e-07,,,
470,9.985669e-08,,,
268,9.673035e-08,,,
331,9.330526e-08,,,
278,9.293742e-08,,,
576,9.1150454e-08,,,
659,9.107694e-08,,,
634,9.032337e-08,,,
653,8.764917e-08,,,
792,8.575688e-08,,,
510,8.468281e-08,,,
671,8.323201e-08,,,
72,8.108836e-08,,,
335,7.6692714e-08,,,
561,7.458323e-08,,,
655,7.43449e-08,,,
663,7.3418654e-08,,,
163,7.087656e-08,,,
6,7.0668406e-08,,,
20,6.7500984e-08,,,
352,6.561928e-08,,,
811,6.1342064e-08,,,
237,6.118478e-08,,,
405,5.871616e-08,,,
316,5.812537e-08,,,
360,5.7597184e-08,,,
329,5.574445e-08,,,
743,5.548774e-08,,,
182,5.546753e-08,,,
52,5.4867968e-08,,,
37,5.4683987e-08,,,
164,5.286947e-08,,,
760,5.279289e-08,,,
692,5.2515702e-08,,,
806,5.188883e-08,,,
637,5.169817e-08,,,
267,5.079086e-08,,,
496,5.075755e-08,,,
430,4.9031122e-08,,,
652,4.8438086e-08,,,
373,4.7242885e-08,,,
481,4.7136407e-08,,,
105,4.58964e-08,,,
560,4.5263334e-08,,,
281,4.365354e-08,,,
593,4.2637105e-08,,,
122,4.1804533e-08,,,
605,4.0810434e-08,,,
108,4.077418e-08,,,
819,4.0101092e-08,,,
824,3.9853433e-08,,,
552,3.9502883e-08,,,
351,3.8867903e-08,,,
160,3.674875e-08,,,
383,3.6676067e-08,,,
288,3.597101e-08,,,
526,3.4768938e-08,,,
30,3.4039264e-08,,,
392,3.23738e-08,,,
230,3.227706e-08,,,
536,3.2258043e-08,,,
322,2.997613e-08,,,
621,2.9577942e-08,,,
51,2.865546e-08,,,
347,2.7656629e-08,,,
153,2.683744e-08,,,
189,2.4692753e-08,,,
687,2.4538801e-08,,,
623,2.4277677e-08,,,
173,2.373266e-08,,,
711,2.3685676e-08,,,
610,2.2086194e-08,,,
421,2.2082277e-08,,,
307,1.9720565e-08,,,
799,1.745643e-08,,,
547,1.5893926e-08,,,
244,1.5705671e-08,,,
29,1.3569304e-08,,,
427,1.2814855e-08,,,
129,1.0972986e-08,,,
636,1.0345354e-08,,,
144,1.0153348e-08,,,
226,9.925735e-09,,,
328,8.337131e-09,,,
602,8.287554e-09,,,
745,7.775331e-09,,,
412,7.641758e-09,,,
197,7.4167676e-09,,,
233,7.396199e-09,,,
306,7.1207418e-09,,,
615,7.0505197e-09,,,
706,6.9415824e-09,,,
428,6.8727335e-09,,,
240,6.6738592e-09,,,
431,6.298913e-09,,,
751,6.17383e-09,,,
727,6.095063e-09,,,
418,5.443514e-09,,,
694,5.0111573e-09,,,
483,3.7122603e-09,,,
752,3.3876675e-09,,,
154,3.2220089e-09,,,
479,3.189103e-09,,,
387,3.1583338e-09,,,
596,3.0191172e-09,,,
497,2.9971539e-09,,,
48,2.9619307e-09,,,
677,2.9439469e-09,,,
737,2.89636e-09,,,
649,2.646281e-09,,,
825,2.4055078e-09,,,
257,2.2252447e-09,,,
3,1.7344906e-09,,,
245,1.6431978e-09,,,
49,1.629055e-09,,,
436,1.3851926e-09,,,
280,1.2739348e-09,,,
70,1.0359428e-09,,,
210,2.3641508e-10,,,
