,probability,gold,TN,TP,FN,FP
435,0.004309207,0.0,,,,
736,0.0037589371,0.0,,,,
501,0.0037116706,0.0,,,,
650,0.0034359396,0.0,,,,
368,0.0023278296,0.0,,,,
348,0.0022261739,0.0,,,,
313,0.0017528832,0.0,,,,
713,0.0015645027,0.0,,,,
488,0.0015510321,0.0,,,,
568,0.0013208985,0.0,,,,
188,0.0010240376,0.0,,,,
253,0.0008827448,0.0,,,,
364,0.0008696914,0.0,,,,
93,0.00084766746,0.0,,,,
528,0.00076776743,0.0,,,,
341,0.0007555783,0.0,,,,
419,0.00073578954,0.0,,,,
548,0.00073447824,0.0,,,,
415,0.0007173121,0.0,,,,
258,0.00067037344,0.0,,,,
343,0.0006264448,0.0,,,,
355,0.0006155968,0.0,,,,
408,0.0005773306,0.0,,,,
293,0.0005004704,0.0,,,,
564,0.0004965365,0.0,,,,
572,0.00048977137,0.0,,,,
15,0.0004824996,0.0,,,,
224,0.00043299794,0.0,,,,
498,0.0004195273,0.0,,,,
505,0.0004170239,0.0,,,,
342,0.0004015267,0.0,,,,
785,0.0003771782,0.0,,,,
167,0.00035998225,0.0,,,,
512,0.00035521388,0.0,,,,
410,0.00035122037,0.0,,,,
577,0.00034552813,0.0,,,,
142,0.00033551455,0.0,,,,
384,0.00033387542,0.0,,,,
1,0.00032052398,0.0,,,,
31,0.0003196895,0.0,,,,
720,0.00031727552,0.0,,,,
64,0.00031289458,0.0,,,,
91,0.00030049682,0.0,,,,
382,0.0002963543,0.0,,,,
289,0.00028970838,0.0,,,,
478,0.00023627281,0.0,,,,
574,0.0002334714,0.0,,,,
491,0.00021189451,0.0,,,,
402,0.00019323826,0.0,,,,
298,0.00018900633,0.0,,,,
438,0.00018391013,0.0,,,,
125,0.00018149614,0.0,,,,
442,0.00016701221,0.0,,,,
779,0.00015693903,0.0,,,,
541,0.000151366,0.0,,,,
104,0.00015026331,0.0,,,,
406,0.00014382601,0.0,,,,
790,0.00014322996,0.0,,,,
356,0.00014021993,0.0,,,,
94,0.00013679266,0.0,,,,
32,0.00013545156,0.0,,,,
353,0.00013202429,0.0,,,,
631,0.00012525916,0.0,,,,
555,0.00012303564,0.0,,,,
185,0.00012160165,0.0,,,,
320,0.00011878203,0.0,,,,
804,0.000113727205,0.0,,,,
345,0.00010867159,0.0,,,,
96,0.00010599732,0.0,,,,
534,0.000101377824,0.0,,,,
666,9.735529e-05,0.0,,,,
704,9.2469345e-05,0.0,,,,
99,8.9044435e-05,0.0,,,,
205,8.3033454e-05,0.0,,,,
712,7.82315e-05,0.0,,,,
141,7.350059e-05,0.0,,,,
826,7.277388e-05,0.0,,,,
618,7.1943396e-05,0.0,,,,
65,7.0504e-05,0.0,,,,
227,6.854433e-05,0.0,,,,
657,6.744781e-05,0.0,,,,
749,6.593064e-05,0.0,,,,
321,6.510078e-05,0.0,,,,
437,6.5045606e-05,0.0,,,,
217,6.4163956e-05,0.0,,,,
332,6.14921e-05,0.0,,,,
814,6.103207e-05,0.0,,,,
489,6.0524206e-05,0.0,,,,
18,5.8357353e-05,0.0,,,,
608,5.562229e-05,0.0,,,,
662,5.559445e-05,0.0,,,,
504,5.3357286e-05,0.0,,,,
744,5.2911317e-05,0.0,,,,
578,5.166217e-05,0.0,,,,
249,4.9692404e-05,0.0,,,,
773,4.9336973e-05,0.0,,,,
485,4.89641e-05,0.0,,,,
58,4.853642e-05,0.0,,,,
41,4.7546786e-05,0.0,,,,
170,4.403935e-05,0.0,,,,
594,4.250891e-05,0.0,,,,
377,4.167769e-05,0.0,,,,
28,3.930588e-05,0.0,,,,
584,3.9000297e-05,0.0,,,,
670,3.6854588e-05,0.0,,,,
330,3.679573e-05,0.0,,,,
557,3.5083518e-05,0.0,,,,
764,3.5054956e-05,0.0,,,,
495,3.4737834e-05,0.0,,,,
463,3.3655004e-05,0.0,,,,
514,3.2627915e-05,0.0,,,,
686,3.23661e-05,0.0,,,,
746,3.212072e-05,0.0,,,,
582,3.1965148e-05,0.0,,,,
159,3.1704538e-05,0.0,,,,
433,3.1578435e-05,0.0,,,,
45,2.882588e-05,0.0,,,,
425,2.8820794e-05,0.0,,,,
259,2.8582059e-05,0.0,,,,
212,2.8473452e-05,0.0,,,,
747,2.7518912e-05,0.0,,,,
466,2.743527e-05,0.0,,,,
151,2.495255e-05,0.0,,,,
2,2.4933091e-05,0.0,,,,
728,2.4199027e-05,0.0,,,,
110,2.4018382e-05,0.0,,,,
86,2.343391e-05,0.0,,,,
75,2.3081408e-05,0.0,,,,
95,2.1972299e-05,0.0,,,,
239,2.1398584e-05,0.0,,,,
255,2.0800197e-05,0.0,,,,
379,1.9813608e-05,0.0,,,,
782,1.9438754e-05,0.0,,,,
283,1.941145e-05,0.0,,,,
385,1.8225703e-05,0.0,,,,
780,1.7615781e-05,0.0,,,,
632,1.7444907e-05,0.0,,,,
783,1.7386294e-05,0.0,,,,
243,1.5651447e-05,0.0,,,,
500,1.543923e-05,0.0,,,,
46,1.5434665e-05,0.0,,,,
120,1.543109e-05,0.0,,,,
196,1.5126088e-05,0.0,,,,
85,1.5017768e-05,0.0,,,,
236,1.3997712e-05,0.0,,,,
647,1.3870382e-05,0.0,,,,
202,1.371373e-05,0.0,,,,
333,1.3112291e-05,0.0,,,,
725,1.2148753e-05,0.0,,,,
422,1.1805368e-05,0.0,,,,
260,1.1722594e-05,0.0,,,,
27,1.1464196e-05,0.0,,,,
689,1.13832175e-05,0.0,,,,
607,1.1123291e-05,0.0,,,,
60,1.110827e-05,0.0,,,,
138,1.1043036e-05,0.0,,,,
493,1.10181045e-05,0.0,,,,
803,1.0996102e-05,0.0,,,,
297,1.0930953e-05,0.0,,,,
710,1.0863652e-05,0.0,,,,
40,1.0822888e-05,0.0,,,,
660,1.0792307e-05,0.0,,,,
598,1.0739718e-05,0.0,,,,
57,1.0554929e-05,0.0,,,,
464,1.03102475e-05,0.0,,,,
38,9.925239e-06,0.0,,,,
553,9.570659e-06,0.0,,,,
684,9.011671e-06,0.0,,,,
658,8.887497e-06,0.0,,,,
77,8.807593e-06,0.0,,,,
787,8.627878e-06,0.0,,,,
246,8.498086e-06,0.0,,,,
683,8.407326e-06,0.0,,,,
395,8.020774e-06,0.0,,,,
753,7.835346e-06,0.0,,,,
304,7.745132e-06,0.0,,,,
740,7.5905778e-06,0.0,,,,
499,7.3226292e-06,0.0,,,,
527,7.2858497e-06,0.0,,,,
116,7.2175158e-06,0.0,,,,
390,7.143205e-06,0.0,,,,
119,6.970337e-06,0.0,,,,
769,6.7417095e-06,0.0,,,,
516,6.6949383e-06,0.0,,,,
640,6.6471785e-06,0.0,,,,
452,6.484781e-06,0.0,,,,
668,6.4468645e-06,0.0,,,,
14,6.2871713e-06,0.0,,,,
54,6.22821e-06,0.0,,,,
810,6.042826e-06,0.0,,,,
161,5.9774848e-06,0.0,,,,
9,5.8366227e-06,0.0,,,,
549,5.8217743e-06,0.0,,,,
279,5.6186004e-06,0.0,,,,
269,5.5072896e-06,0.0,,,,
532,5.456157e-06,0.0,,,,
67,5.288173e-06,0.0,,,,
404,5.267868e-06,0.0,,,,
480,5.048137e-06,0.0,,,,
16,4.9955806e-06,0.0,,,,
772,4.9417145e-06,0.0,,,,
4,4.707769e-06,0.0,,,,
599,4.6885702e-06,0.0,,,,
19,4.6288365e-06,0.0,,,,
367,4.6187383e-06,0.0,,,,
701,4.6011137e-06,0.0,,,,
391,4.5951847e-06,0.0,,,,
90,4.57992e-06,0.0,,,,
87,4.529365e-06,0.0,,,,
693,4.1054336e-06,0.0,,,,
688,4.036315e-06,0.0,,,,
204,4.03018e-06,0.0,,,,
365,4.024108e-06,0.0,,,,
400,3.9763117e-06,0.0,,,,
271,3.974924e-06,0.0,,,,
59,3.9387323e-06,0.0,,,,
177,3.898975e-06,0.0,,,,
507,3.7785876e-06,0.0,,,,
344,3.7630919e-06,0.0,,,,
524,3.6594383e-06,0.0,,,,
559,3.656114e-06,0.0,,,,
241,3.6303406e-06,0.0,,,,
638,3.614484e-06,0.0,,,,
644,3.5802013e-06,0.0,,,,
140,3.5422959e-06,0.0,,,,
690,3.5056107e-06,0.0,,,,
174,3.4709174e-06,0.0,,,,
375,3.4181323e-06,0.0,,,,
673,3.3782874e-06,0.0,,,,
781,3.244746e-06,0.0,,,,
35,3.2188227e-06,0.0,,,,
797,3.2088617e-06,0.0,,,,
695,3.2017333e-06,0.0,,,,
268,3.2002617e-06,0.0,,,,
302,3.1854634e-06,0.0,,,,
285,3.1782715e-06,0.0,,,,
579,3.176311e-06,0.0,,,,
363,3.1232223e-06,0.0,,,,
262,3.0590393e-06,0.0,,,,
667,3.0481654e-06,0.0,,,,
748,3.044682e-06,0.0,,,,
199,3.0389904e-06,0.0,,,,
630,2.9333971e-06,0.0,,,,
206,2.9313949e-06,0.0,,,,
502,2.8641118e-06,0.0,,,,
768,2.8483596e-06,0.0,,,,
26,2.76613e-06,0.0,,,,
354,2.6911948e-06,0.0,,,,
261,2.674146e-06,0.0,,,,
295,2.583441e-06,0.0,,,,
420,2.4901758e-06,0.0,,,,
758,2.4667759e-06,0.0,,,,
219,2.4623007e-06,0.0,,,,
366,2.4479434e-06,0.0,,,,
235,2.413186e-06,0.0,,,,
423,2.3476669e-06,0.0,,,,
21,2.33508e-06,0.0,,,,
5,2.3306948e-06,0.0,,,,
776,2.3272078e-06,0.0,,,,
641,2.3032867e-06,0.0,,,,
319,2.2605666e-06,0.0,,,,
565,2.2590493e-06,0.0,,,,
203,2.230679e-06,0.0,,,,
30,2.2295962e-06,0.0,,,,
264,2.0523066e-06,0.0,,,,
325,2.0268787e-06,0.0,,,,
679,1.9994875e-06,0.0,,,,
266,1.9700979e-06,0.0,,,,
616,1.9682707e-06,0.0,,,,
571,1.9397376e-06,0.0,,,,
456,1.9315708e-06,0.0,,,,
303,1.9265872e-06,0.0,,,,
143,1.920266e-06,0.0,,,,
112,1.9147453e-06,0.0,,,,
462,1.9012439e-06,0.0,,,,
580,1.8498181e-06,0.0,,,,
587,1.800264e-06,0.0,,,,
784,1.7681347e-06,0.0,,,,
656,1.7636062e-06,0.0,,,,
312,1.7273653e-06,0.0,,,,
699,1.7241264e-06,0.0,,,,
715,1.6898083e-06,0.0,,,,
606,1.6752899e-06,0.0,,,,
409,1.663293e-06,0.0,,,,
601,1.6538138e-06,0.0,,,,
583,1.6484332e-06,0.0,,,,
757,1.6267986e-06,0.0,,,,
272,1.615303e-06,0.0,,,,
339,1.6149763e-06,0.0,,,,
401,1.5759235e-06,0.0,,,,
113,1.5395508e-06,0.0,,,,
248,1.4669539e-06,0.0,,,,
770,1.4653837e-06,0.0,,,,
149,1.4612724e-06,0.0,,,,
609,1.4539855e-06,0.0,,,,
429,1.4477646e-06,0.0,,,,
617,1.4324596e-06,0.0,,,,
380,1.3812651e-06,0.0,,,,
709,1.3789486e-06,0.0,,,,
123,1.3568297e-06,0.0,,,,
654,1.3483625e-06,0.0,,,,
519,1.320841e-06,0.0,,,,
275,1.3166881e-06,0.0,,,,
813,1.314045e-06,0.0,,,,
705,1.3113972e-06,0.0,,,,
795,1.2896348e-06,0.0,,,,
714,1.2842505e-06,0.0,,,,
774,1.2397909e-06,0.0,,,,
220,1.221852e-06,0.0,,,,
381,1.2053101e-06,0.0,,,,
263,1.1959303e-06,0.0,,,,
314,1.1772465e-06,0.0,,,,
474,1.1652223e-06,0.0,,,,
719,1.1477077e-06,0.0,,,,
416,1.1248159e-06,0.0,,,,
403,1.1174725e-06,0.0,,,,
8,1.1159751e-06,0.0,,,,
515,1.1002904e-06,0.0,,,,
539,1.0743615e-06,0.0,,,,
756,1.0704302e-06,0.0,,,,
88,1.03464e-06,0.0,,,,
473,9.905755e-07,0.0,,,,
531,9.814805e-07,0.0,,,,
680,9.791208e-07,0.0,,,,
546,9.5022807e-07,0.0,,,,
135,9.36128e-07,0.0,,,,
626,9.351394e-07,0.0,,,,
369,9.3374024e-07,0.0,,,,
424,9.283152e-07,0.0,,,,
106,9.2066773e-07,0.0,,,,
426,9.067572e-07,0.0,,,,
535,9.004553e-07,0.0,,,,
530,8.9508706e-07,0.0,,,,
432,8.885467e-07,0.0,,,,
639,8.8303636e-07,0.0,,,,
798,8.760651e-07,0.0,,,,
702,8.731783e-07,0.0,,,,
62,8.462319e-07,0.0,,,,
169,8.415769e-07,0.0,,,,
525,8.057808e-07,0.0,,,,
273,8.032481e-07,0.0,,,,
234,7.8455184e-07,0.0,,,,
708,7.6748876e-07,0.0,,,,
533,7.5841194e-07,0.0,,,,
802,7.574405e-07,0.0,,,,
676,7.5243173e-07,0.0,,,,
393,7.345651e-07,0.0,,,,
98,7.2860894e-07,0.0,,,,
455,7.1866725e-07,0.0,,,,
823,6.998929e-07,0.0,,,,
61,6.9687246e-07,0.0,,,,
763,6.918451e-07,0.0,,,,
124,6.739174e-07,0.0,,,,
386,6.7279166e-07,0.0,,,,
201,6.537016e-07,0.0,,,,
327,6.432227e-07,0.0,,,,
461,6.4289827e-07,0.0,,,,
209,6.4099976e-07,0.0,,,,
20,6.367203e-07,0.0,,,,
357,6.348389e-07,0.0,,,,
738,6.346004e-07,0.0,,,,
12,6.2426926e-07,0.0,,,,
775,6.220704e-07,0.0,,,,
127,6.0816274e-07,0.0,,,,
558,5.9750994e-07,0.0,,,,
509,5.940622e-07,0.0,,,,
602,5.776907e-07,0.0,,,,
292,5.6681273e-07,0.0,,,,
818,5.584611e-07,0.0,,,,
10,5.4752894e-07,0.0,,,,
575,5.332615e-07,0.0,,,,
691,5.321931e-07,0.0,,,,
317,5.3145004e-07,0.0,,,,
735,5.2797645e-07,0.0,,,,
739,5.1948075e-07,0.0,,,,
794,5.102256e-07,0.0,,,,
378,5.035705e-07,0.0,,,,
242,5.016379e-07,0.0,,,,
766,4.98038e-07,0.0,,,,
600,4.976454e-07,0.0,,,,
603,4.942796e-07,0.0,,,,
729,4.8610536e-07,0.0,,,,
228,4.84656e-07,0.0,,,,
80,4.7788944e-07,0.0,,,,
703,4.7538938e-07,0.0,,,,
150,4.6349433e-07,0.0,,,,
111,4.6008435e-07,0.0,,,,
628,4.5586484e-07,0.0,,,,
193,4.4111437e-07,0.0,,,,
460,4.410803e-07,0.0,,,,
276,4.399309e-07,0.0,,,,
566,4.372406e-07,0.0,,,,
733,4.32295e-07,0.0,,,,
394,4.268619e-07,0.0,,,,
511,4.2678784e-07,0.0,,,,
414,4.256432e-07,0.0,,,,
238,4.1971694e-07,0.0,,,,
411,4.0809405e-07,0.0,,,,
336,4.0276612e-07,0.0,,,,
510,3.9690318e-07,0.0,,,,
186,3.9547308e-07,0.0,,,,
554,3.90543e-07,0.0,,,,
793,3.876579e-07,0.0,,,,
71,3.7400312e-07,0.0,,,,
131,3.7087042e-07,0.0,,,,
589,3.6711359e-07,0.0,,,,
468,3.6004113e-07,0.0,,,,
211,3.5852358e-07,0.0,,,,
222,3.5653065e-07,0.0,,,,
573,3.5301332e-07,0.0,,,,
13,3.477184e-07,0.0,,,,
145,3.4547503e-07,0.0,,,,
360,3.4090186e-07,0.0,,,,
805,3.3995224e-07,0.0,,,,
265,3.3928052e-07,0.0,,,,
162,3.2707047e-07,0.0,,,,
200,3.2555866e-07,0.0,,,,
642,3.2207248e-07,0.0,,,,
225,3.2118328e-07,0.0,,,,
374,3.2000344e-07,0.0,,,,
254,3.1170197e-07,0.0,,,,
614,3.108316e-07,0.0,,,,
282,3.095944e-07,0.0,,,,
791,3.0900918e-07,0.0,,,,
372,3.0683174e-07,0.0,,,,
487,3.033464e-07,0.0,,,,
133,3.0306015e-07,0.0,,,,
158,3.020399e-07,0.0,,,,
820,3.015595e-07,0.0,,,,
229,2.9828027e-07,0.0,,,,
213,2.9811787e-07,0.0,,,,
815,2.952016e-07,0.0,,,,
434,2.9513066e-07,0.0,,,,
311,2.9322936e-07,0.0,,,,
698,2.9242509e-07,0.0,,,,
214,2.8574698e-07,0.0,,,,
334,2.851742e-07,0.0,,,,
146,2.834638e-07,0.0,,,,
53,2.8220578e-07,0.0,,,,
627,2.792131e-07,0.0,,,,
155,2.7829412e-07,0.0,,,,
536,2.7734004e-07,0.0,,,,
392,2.71507e-07,0.0,,,,
388,2.7116724e-07,0.0,,,,
358,2.673767e-07,0.0,,,,
716,2.6668377e-07,0.0,,,,
444,2.6501982e-07,0.0,,,,
643,2.5947904e-07,0.0,,,,
301,2.5779661e-07,0.0,,,,
590,2.5752385e-07,0.0,,,,
370,2.5352722e-07,0.0,,,,
671,2.5203187e-07,0.0,,,,
175,2.5063042e-07,0.0,,,,
115,2.4549863e-07,0.0,,,,
233,2.4411045e-07,0.0,,,,
78,2.4260098e-07,0.0,,,,
592,2.3569845e-07,0.0,,,,
551,2.3441285e-07,0.0,,,,
100,2.3225726e-07,0.0,,,,
22,2.2911243e-07,0.0,,,,
102,2.2701339e-07,0.0,,,,
443,2.2577882e-07,0.0,,,,
194,2.239402e-07,0.0,,,,
467,2.2153057e-07,0.0,,,,
635,2.2111371e-07,0.0,,,,
79,2.1911885e-07,0.0,,,,
76,2.1844221e-07,0.0,,,,
576,2.156666e-07,0.0,,,,
315,2.1565138e-07,0.0,,,,
51,2.1539076e-07,0.0,,,,
50,2.1348704e-07,0.0,,,,
518,2.1298455e-07,0.0,,,,
741,2.1260688e-07,0.0,,,,
726,2.1176527e-07,0.0,,,,
286,2.1013614e-07,0.0,,,,
6,2.076446e-07,0.0,,,,
103,2.0482659e-07,0.0,,,,
176,2.0102894e-07,0.0,,,,
147,2.0094134e-07,0.0,,,,
446,2.0021847e-07,0.0,,,,
696,2.0000778e-07,0.0,,,,
305,1.9960153e-07,0.0,,,,
624,1.9833645e-07,0.0,,,,
101,1.9680144e-07,0.0,,,,
816,1.9537683e-07,0.0,,,,
538,1.9452088e-07,0.0,,,,
625,1.9271667e-07,0.0,,,,
451,1.9262885e-07,0.0,,,,
160,1.9226637e-07,0.0,,,,
697,1.9194265e-07,0.0,,,,
459,1.9167612e-07,0.0,,,,
37,1.9063337e-07,0.0,,,,
168,1.8246084e-07,0.0,,,,
801,1.818001e-07,0.0,,,,
476,1.8082936e-07,0.0,,,,
338,1.7861971e-07,0.0,,,,
586,1.7835146e-07,0.0,,,,
550,1.7820575e-07,0.0,,,,
153,1.7718389e-07,0.0,,,,
152,1.7594122e-07,0.0,,,,
547,1.7333332e-07,0.0,,,,
731,1.7030527e-07,0.0,,,,
807,1.7021873e-07,0.0,,,,
682,1.6793601e-07,0.0,,,,
484,1.6698928e-07,0.0,,,,
821,1.5964528e-07,0.0,,,,
191,1.5922518e-07,0.0,,,,
294,1.567578e-07,0.0,,,,
619,1.5432765e-07,0.0,,,,
475,1.5375824e-07,0.0,,,,
89,1.521579e-07,0.0,,,,
288,1.5083678e-07,0.0,,,,
742,1.5057807e-07,0.0,,,,
359,1.5055869e-07,0.0,,,,
92,1.4579517e-07,0.0,,,,
722,1.4490581e-07,0.0,,,,
84,1.4294729e-07,0.0,,,,
52,1.4168616e-07,0.0,,,,
277,1.3874126e-07,0.0,,,,
482,1.3650433e-07,0.0,,,,
809,1.3531242e-07,0.0,,,,
389,1.3460607e-07,0.0,,,,
648,1.337819e-07,0.0,,,,
778,1.3346511e-07,0.0,,,,
207,1.3234869e-07,0.0,,,,
454,1.3143013e-07,0.0,,,,
154,1.2779627e-07,0.0,,,,
664,1.2760628e-07,0.0,,,,
655,1.2624105e-07,0.0,,,,
24,1.2075311e-07,0.0,,,,
331,1.2064986e-07,0.0,,,,
183,1.2061052e-07,0.0,,,,
189,1.1882445e-07,0.0,,,,
299,1.179876e-07,0.0,,,,
109,1.1752514e-07,0.0,,,,
754,1.1482655e-07,0.0,,,,
760,1.14506356e-07,0.0,,,,
585,1.13485314e-07,0.0,,,,
361,1.1326118e-07,0.0,,,,
465,1.1234966e-07,0.0,,,,
66,1.1163642e-07,0.0,,,,
604,1.0960588e-07,0.0,,,,
496,1.08312406e-07,0.0,,,,
800,1.0802233e-07,0.0,,,,
284,1.06810475e-07,0.0,,,,
777,1.06478915e-07,0.0,,,,
520,1.0601263e-07,0.0,,,,
750,1.0498158e-07,0.0,,,,
278,1.0456611e-07,0.0,,,,
250,1.0394054e-07,0.0,,,,
752,1.03033756e-07,0.0,,,,
445,1.0266222e-07,0.0,,,,
7,9.9240744e-08,0.0,,,,
43,9.8915706e-08,0.0,,,,
675,9.85938e-08,0.0,,,,
223,9.830744e-08,0.0,,,,
700,9.825739e-08,0.0,,,,
612,9.762746e-08,0.0,,,,
786,9.72398e-08,0.0,,,,
25,9.554052e-08,0.0,,,,
665,9.438513e-08,0.0,,,,
569,9.416629e-08,0.0,,,,
324,9.3340326e-08,0.0,,,,
595,9.317455e-08,0.0,,,,
165,8.960936e-08,0.0,,,,
173,8.660011e-08,0.0,,,,
97,8.4561265e-08,0.0,,,,
39,8.4461654e-08,0.0,,,,
633,8.130813e-08,0.0,,,,
47,7.933999e-08,0.0,,,,
230,7.892011e-08,0.0,,,,
817,7.8367655e-08,0.0,,,,
362,7.751524e-08,0.0,,,,
623,7.682184e-08,0.0,,,,
591,7.663642e-08,0.0,,,,
310,7.624102e-08,0.0,,,,
685,7.555672e-08,0.0,,,,
300,7.3014235e-08,0.0,,,,
105,7.290235e-08,0.0,,,,
329,7.191242e-08,0.0,,,,
672,7.140589e-08,0.0,,,,
421,7.074636e-08,0.0,,,,
81,7.035183e-08,0.0,,,,
706,6.951696e-08,0.0,,,,
669,6.94295e-08,0.0,,,,
517,6.898268e-08,0.0,,,,
308,6.876829e-08,0.0,,,,
231,6.8444024e-08,0.0,,,,
179,6.759555e-08,0.0,,,,
771,6.731507e-08,0.0,,,,
291,6.665098e-08,0.0,,,,
216,6.542482e-08,0.0,,,,
322,6.473195e-08,0.0,,,,
508,6.4072566e-08,0.0,,,,
181,6.319458e-08,0.0,,,,
122,6.284575e-08,0.0,,,,
335,6.2597756e-08,0.0,,,,
296,6.162386e-08,0.0,,,,
157,6.1338085e-08,0.0,,,,
290,6.11387e-08,0.0,,,,
486,6.081062e-08,0.0,,,,
556,6.04565e-08,0.0,,,,
796,5.9659804e-08,0.0,,,,
762,5.9617946e-08,0.0,,,,
156,5.9589524e-08,0.0,,,,
346,5.9334003e-08,0.0,,,,
529,5.8618586e-08,0.0,,,,
743,5.7730816e-08,0.0,,,,
523,5.7110928e-08,0.0,,,,
542,5.6150807e-08,0.0,,,,
407,5.5599507e-08,0.0,,,,
221,5.532964e-08,0.0,,,,
256,5.524338e-08,0.0,,,,
192,5.3987552e-08,0.0,,,,
187,5.3460653e-08,0.0,,,,
398,5.220949e-08,0.0,,,,
281,5.0333643e-08,0.0,,,,
526,5.0166012e-08,0.0,,,,
513,4.9902713e-08,0.0,,,,
82,4.9664095e-08,0.0,,,,
72,4.936914e-08,0.0,,,,
621,4.901663e-08,0.0,,,,
470,4.820592e-08,0.0,,,,
232,4.80925e-08,0.0,,,,
351,4.7683486e-08,0.0,,,,
588,4.734545e-08,0.0,,,,
63,4.67612e-08,0.0,,,,
132,4.634618e-08,0.0,,,,
373,4.597718e-08,0.0,,,,
472,4.5935458e-08,0.0,,,,
136,4.5664564e-08,0.0,,,,
306,4.480252e-08,0.0,,,,
494,4.4770232e-08,0.0,,,,
17,4.4702908e-08,0.0,,,,
490,4.4524125e-08,0.0,,,,
806,4.3388162e-08,0.0,,,,
651,4.2508642e-08,0.0,,,,
430,4.1978957e-08,0.0,,,,
620,4.1973593e-08,0.0,,,,
560,4.1739675e-08,0.0,,,,
732,4.0525993e-08,0.0,,,,
449,3.9861717e-08,0.0,,,,
812,3.9571432e-08,0.0,,,,
218,3.877971e-08,0.0,,,,
521,3.8023767e-08,0.0,,,,
717,3.795037e-08,0.0,,,,
653,3.7917957e-08,0.0,,,,
399,3.6434336e-08,0.0,,,,
244,3.611386e-08,0.0,,,,
824,3.607297e-08,0.0,,,,
328,3.5596717e-08,0.0,,,,
197,3.5386524e-08,0.0,,,,
371,3.499428e-08,0.0,,,,
483,3.4750638e-08,0.0,,,,
605,3.3711682e-08,0.0,,,,
678,3.279017e-08,0.0,,,,
661,3.2470023e-08,0.0,,,,
387,3.235411e-08,0.0,,,,
134,3.2095226e-08,0.0,,,,
448,3.2008476e-08,0.0,,,,
822,3.1009893e-08,0.0,,,,
215,3.091057e-08,0.0,,,,
252,3.073942e-08,0.0,,,,
593,3.024756e-08,0.0,,,,
350,2.9340432e-08,0.0,,,,
198,2.9239539e-08,0.0,,,,
326,2.8932751e-08,0.0,,,,
107,2.8371572e-08,0.0,,,,
440,2.8369406e-08,0.0,,,,
180,2.8277839e-08,0.0,,,,
610,2.8155776e-08,0.0,,,,
477,2.813645e-08,0.0,,,,
819,2.7727511e-08,0.0,,,,
349,2.6971737e-08,0.0,,,,
337,2.6194261e-08,0.0,,,,
245,2.5331996e-08,0.0,,,,
561,2.4804296e-08,0.0,,,,
340,2.4779233e-08,0.0,,,,
114,2.4554298e-08,0.0,,,,
634,2.4496995e-08,0.0,,,,
270,2.418561e-08,0.0,,,,
544,2.3555968e-08,0.0,,,,
457,2.2787635e-08,0.0,,,,
55,2.2732502e-08,0.0,,,,
130,2.2121272e-08,0.0,,,,
450,2.2024736e-08,0.0,,,,
36,2.1438096e-08,0.0,,,,
734,2.0464256e-08,0.0,,,,
537,2.0228157e-08,0.0,,,,
240,1.9818641e-08,0.0,,,,
83,1.9324238e-08,0.0,,,,
307,1.7539097e-08,0.0,,,,
413,1.7394079e-08,0.0,,,,
431,1.6946416e-08,0.0,,,,
164,1.6510526e-08,0.0,,,,
34,1.625471e-08,0.0,,,,
799,1.5595491e-08,0.0,,,,
11,1.513188e-08,0.0,,,,
570,1.4933041e-08,0.0,,,,
562,1.4848149e-08,0.0,,,,
677,1.467925e-08,0.0,,,,
